"","location","country","continent"
"92","Missouri, United States","United States","Americas"
"93","Mongolia","Mongolia","Asia"
"94","Montana, United States","United States","Americas"
"95","Morocco","Morocco","Africa"
"96","Nebraska, United States","United States","Americas"
"97","Nepal","Nepal","Asia"
"98","Netherlands","Netherlands","Europe"
"99","Nevada, United States","United States","Americas"
"100","New Brunswick, Canada","Canada","Americas"
"101","New Hampshire, United States","United States","Americas"
"102","New Jersey, United States","United States","Americas"
"103","New Mexico, United States","United States","Americas"
"104","New York, France","United States","Americas"
"105","New York, United States","United States","Americas"
"106","New Zealand","New Zealand","Oceania"
"107","Newfoundland and Labrador, Canada","Canada","Americas"
"108","Nigeria","Nigeria","Africa"
"109","North Carolina, United States","United States","Americas"
"110","North Dakota, United States","United States","Americas"
"111","Norway","Norway","Europe"
"112","Nova Scotia, Canada","Canada","Americas"
"113","Nova Scotia, United States","Canada","Americas"
"114","Nunavut, United States","Canada","Americas"
"115","Ohio, United States","United States","Americas"
"116","Oklahoma, United States","United States","Americas"
"117","Ontario, Canada","Canada","Americas"
"118","Ontario, United States","United States","Americas"
"119","Oregon, United States","United States","Americas"
"120","Pakistan","Pakistan","Asia"
"121","Panama","Panama","Americas"
"122","Pennsylvania, United States","United States","Americas"
"123","Peru","Peru","Americas"
"124","Poland","Poland","Europe"
"125","Portugal","Portugal","Europe"
"126","Puerto Rico","Puerto Rico","Americas"
"127","Qatar","Qatar","Asia"
"128","Quebec, Canada","Canada","Americas"
"129","Rhode Island, United States","United States","Americas"
"130","Russian Federation","Russia","Europe"
"131","Rwanda","Rwanda","Africa"
"132","Saskatchewan, Canada","Canada","Americas"
"133","Saudi Arabia","Saudi Arabia","Asia"
"134","Senegal","Senegal","Africa"
"135","Singapore","Singapore","Asia"
"136","Slovakia","Slovakia","Europe"
"137","South Africa","South Africa","Africa"
"138","South Carolina, United States","United States","Americas"
"139","South Dakota, United States","United States","Americas"
"140","Spain","Spain","Europe"
"141","Sri Lanka","Sri Lanka","Asia"
"142","Sweden","Sweden","Europe"
"143","Switzerland","Switzerland","Europe"
"144","Syrian Arab Republic","Syria","Asia"
"145","Taiwan","Taiwan","Asia"
"146","Tennessee, United States","United States","Americas"
"147","Texas, United States","United States","Americas"
"148","Thailand","Thailand","Asia"
"149","Tunisia","Tunisia","Africa"
"150","Turkey","Turkey","Asia"
"151","Turks and Caicos Islands","Turks and Caicos Islands","Americas"
"152","Uganda","Uganda","Africa"
"153","Ukraine","Ukraine","Europe"
"154","United Arab Emirates","United Arab Emirates","Asia"
"155","United Kingdom","United Kingdom","Europe"
"156","United States","United States","Americas"
"157","United States Minor Outlying Islands","United States","Americas"
"158","Uruguay","Uruguay","Americas"
"159","Utah, United States","United States","Americas"
"160","Vermont, United States","United States","Americas"
"161","Viet Nam","Vietnam","Asia"
"162","Virginia, United States","United States","Americas"
"163","Washington, United States","United States","Americas"
"164","West Virginia, United States","United States","Americas"
"165","Wisconsin, United States","United States","Americas"
"166","Wyoming, United States","United States","Americas"
"167","Yugoslavia","Canada","Americas"
"168","Yukon, United States","United States","Americas"
